Date : 2024-07-08 11:35:20
Directory : /home/ankit/Projects/zenChat
Total : 87 files,  13962 codes, 392 comments, 794 blanks, all 15148 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/ankit/Projects/zenChat/client/src/components/SearchUserSidebar.jsx      | JavaScript JSX     |         97 |          1 |         10 |        108 |
| /home/ankit/Projects/zenChat/client/src/components/SideMenu.jsx               | JavaScript JSX     |         50 |          0 |          4 |         54 |
| /home/ankit/Projects/zenChat/client/src/components/ThemeSwitchButton.jsx      | JavaScript JSX     |         14 |          0 |          4 |         18 |
| /home/ankit/Projects/zenChat/client/src/components/VideoChat.jsx              | JavaScript JSX     |         66 |          1 |          5 |         72 |
| /home/ankit/Projects/zenChat/client/src/context/AuthContext.jsx               | JavaScript JSX     |         82 |         21 |         15 |        118 |
| /home/ankit/Projects/zenChat/client/src/context/ChatContext.jsx               | JavaScript JSX     |        192 |         40 |         33 |        265 |
| /home/ankit/Projects/zenChat/client/src/context/SocketContext.jsx             | JavaScript JSX     |         42 |          4 |         11 |         57 |
| /home/ankit/Projects/zenChat/client/src/context/ThemeContext.jsx              | JavaScript JSX     |          7 |          0 |          4 |         11 |
| /home/ankit/Projects/zenChat/client/src/context/ThemeContextWrapper.jsx       | JavaScript JSX     |         20 |          0 |          5 |         25 |
| /home/ankit/Projects/zenChat/client/src/context/WebRtcContext.jsx             | JavaScript JSX     |        253 |         32 |         40 |        325 |
| /home/ankit/Projects/zenChat/client/src/index.css                             | CSS                |         52 |          5 |         13 |         70 |
| /home/ankit/Projects/zenChat/client/src/main.jsx                              | JavaScript JSX     |         20 |          0 |          2 |         22 |
| /home/ankit/Projects/zenChat/client/src/pages/Chat.jsx                        | JavaScript JSX     |         45 |          0 |          4 |         49 |
| /home/ankit/Projects/zenChat/client/src/pages/Login.jsx                       | JavaScript JSX     |         83 |          2 |         11 |         96 |
| /home/ankit/Projects/zenChat/client/src/pages/Register.jsx                    | JavaScript JSX     |         90 |          2 |         10 |        102 |
| /home/ankit/Projects/zenChat/client/src/utils/index.js                        | JavaScript         |         78 |         15 |         14 |        107 |
| /home/ankit/Projects/zenChat/client/tailwind.config.js                        | JavaScript         |         28 |          1 |          3 |         32 |
| /home/ankit/Projects/zenChat/client/vercel.json                               | JSON               |          8 |          0 |          1 |          9 |
| /home/ankit/Projects/zenChat/client/vite.config.js                            | JavaScript         |          5 |          1 |          2 |          8 |
| /home/ankit/Projects/zenChat/docker-compose.yml                               | YAML               |         32 |          0 |          5 |         37 |
| Total                                                                         |                    |     13,962 |        392 |        794 |     15,148 |
+-------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
