"filename", "language", "YAML", "JavaScript", "Markdown", "Ignore", "JSON", "Docker", "HTML", "JavaScript JSX", "CSS", "XML", "TypeScript", "JSON with Comments", "Properties", "comment", "blank", "total"
"/home/ankit/Projects/zenChat/client/index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/ankit/Projects/zenChat/client/nginxDefault.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 24, 8, 46
"/home/ankit/Projects/zenChat/client/package-lock.json", "JSON", 0, 0, 0, 0, 5922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5923
"/home/ankit/Projects/zenChat/client/package.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"/home/ankit/Projects/zenChat/client/postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/ankit/Projects/zenChat/client/public/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/ankit/Projects/zenChat/client/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 5, 74
"/home/ankit/Projects/zenChat/client/src/api/index.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 90
"/home/ankit/Projects/zenChat/client/src/assets/index.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 70
"/home/ankit/Projects/zenChat/client/src/assets/svgs/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/ankit/Projects/zenChat/client/src/components/AddChat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 10, 16, 300
"/home/ankit/Projects/zenChat/client/src/components/ChatLeftSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
